experience,job_role,location,salary
4,Software Engineer,Hyderabad,55436
11,Data Scientist,Mumbai,125018
4,DevOps Engineer,Mumbai,79872
9,Data Scientist,Delhi,109887
6,UI/UX Designer,Hyderabad,57160
11,Cloud Engineer,Delhi,138003
5,Web Developer,Bangalore,52468
9,UI/UX Designer,Bangalore,71497
12,Backend Developer,Delhi,103462
9,Data Scientist,Bangalore,116513
11,Full Stack Developer,Mumbai,109839
8,Backend Developer,Mumbai,82138
3,DevOps Engineer,Delhi,73700
9,DevOps Engineer,Pune,105819
9,DevOps Engineer,Bangalore,122767
0,DevOps Engineer,Delhi,48737
12,Software Engineer,Chennai,90124
11,Cloud Engineer,Chennai,125447
12,Mobile App Developer,Bangalore,103469
11,Machine Learning Engineer,Hyderabad,136147
0,Web Developer,Mumbai,32153
4,UI/UX Designer,Pune,41065
5,Data Scientist,Mumbai,83353
10,Cloud Engineer,Mumbai,132173
8,Cloud Engineer,Delhi,119581
4,Machine Learning Engineer,Bangalore,87235
9,Web Developer,Delhi,70403
10,Mobile App Developer,Delhi,89975
10,Backend Developer,Delhi,94710
8,Machine Learning Engineer,Delhi,116152
4,Full Stack Developer,Pune,60603
11,Data Scientist,Delhi,122355
11,Full Stack Developer,Hyderabad,105029
2,Full Stack Developer,Mumbai,54867
10,Cloud Engineer,Pune,125303
4,Data Scientist,Chennai,66258
8,Machine Learning Engineer,Pune,109598
4,Data Scientist,Bangalore,80013
5,Full Stack Developer,Pune,68181
12,Full Stack Developer,Bangalore,119717
11,DevOps Engineer,Delhi,128892
5,Software Engineer,Mumbai,62285
3,Mobile App Developer,Delhi,51567
2,Web Developer,Chennai,34437
2,Backend Developer,Mumbai,52406
5,Web Developer,Hyderabad,51350
8,UI/UX Designer,Pune,63489
0,Backend Developer,Pune,35671
7,Backend Developer,Mumbai,76603
11,Machine Learning Engineer,Hyderabad,137101
7,Cloud Engineer,Pune,104072
9,Data Scientist,Delhi,110498
12,Data Scientist,Pune,121629
4,Backend Developer,Hyderabad,59644
1,Cloud Engineer,Bangalore,65846
12,Machine Learning Engineer,Pune,137272
4,DevOps Engineer,Chennai,71261
3,Cloud Engineer,Chennai,67409
11,Cloud Engineer,Mumbai,145443
1,Software Engineer,Pune,39899
12,UI/UX Designer,Delhi,83695
11,DevOps Engineer,Chennai,118128
9,Cloud Engineer,Chennai,113171
5,UI/UX Designer,Mumbai,52603
8,Backend Developer,Bangalore,85117
3,Cloud Engineer,Hyderabad,74859
7,DevOps Engineer,Hyderabad,97000
2,Cloud Engineer,Pune,64088
3,Cloud Engineer,Hyderabad,77595
10,Mobile App Developer,Chennai,77275
11,Cloud Engineer,Bangalore,151142
3,Full Stack Developer,Delhi,62145
11,Cloud Engineer,Delhi,142767
2,UI/UX Designer,Pune,36954
9,Machine Learning Engineer,Chennai,110500
9,Web Developer,Delhi,70193
10,Cloud Engineer,Mumbai,136553
7,UI/UX Designer,Delhi,61175
5,Web Developer,Hyderabad,48513
8,Mobile App Developer,Delhi,76950
12,Cloud Engineer,Bangalore,157791
5,Machine Learning Engineer,Bangalore,95718
9,UI/UX Designer,Delhi,72283
1,UI/UX Designer,Delhi,32954
6,Mobile App Developer,Pune,60979
8,UI/UX Designer,Hyderabad,62645
7,Full Stack Developer,Bangalore,89777
9,Full Stack Developer,Bangalore,104125
0,UI/UX Designer,Hyderabad,29601
6,DevOps Engineer,Chennai,81489
12,Cloud Engineer,Chennai,133649
11,Mobile App Developer,Pune,88618
6,Machine Learning Engineer,Hyderabad,100122
2,Full Stack Developer,Pune,49251
4,Machine Learning Engineer,Hyderabad,84935
3,UI/UX Designer,Mumbai,41960
3,Backend Developer,Delhi,57040
4,Backend Developer,Chennai,56619
4,Machine Learning Engineer,Delhi,84665
12,Backend Developer,Mumbai,105744
1,Backend Developer,Delhi,44453
12,DevOps Engineer,Hyderabad,136795
10,Backend Developer,Hyderabad,90857
8,Web Developer,Pune,61403
5,UI/UX Designer,Mumbai,52156
9,Cloud Engineer,Bangalore,131071
2,Machine Learning Engineer,Pune,64990
7,UI/UX Designer,Bangalore,65584
11,Data Scientist,Delhi,127621
5,Cloud Engineer,Hyderabad,93063
7,Software Engineer,Delhi,75346
4,Mobile App Developer,Pune,55580
5,Machine Learning Engineer,Pune,85021
3,Full Stack Developer,Mumbai,59306
12,Cloud Engineer,Hyderabad,145736
5,Backend Developer,Delhi,65022
1,Software Engineer,Pune,39918
7,Mobile App Developer,Chennai,62499
6,Machine Learning Engineer,Delhi,102391
10,Web Developer,Mumbai,72891
2,Data Scientist,Hyderabad,61024
11,Web Developer,Bangalore,79949
2,Software Engineer,Bangalore,47472
8,Backend Developer,Bangalore,87679
2,Backend Developer,Bangalore,54925
5,Web Developer,Delhi,52218
1,Data Scientist,Mumbai,57253
0,Web Developer,Pune,27324
7,Backend Developer,Pune,70595
2,Cloud Engineer,Chennai,62045
3,Web Developer,Pune,37861
5,Full Stack Developer,Hyderabad,71642
0,Full Stack Developer,Bangalore,46330
11,UI/UX Designer,Mumbai,76836
0,Web Developer,Mumbai,30202
5,Web Developer,Hyderabad,52025
10,Web Developer,Delhi,70850
6,UI/UX Designer,Hyderabad,51783
6,DevOps Engineer,Chennai,86717
1,UI/UX Designer,Mumbai,36793
4,Mobile App Developer,Hyderabad,58105
9,Machine Learning Engineer,Chennai,112373
11,Full Stack Developer,Pune,101428
11,Software Engineer,Mumbai,95692
6,DevOps Engineer,Delhi,92902
4,Full Stack Developer,Mumbai,64258
2,Backend Developer,Chennai,41919
11,Full Stack Developer,Hyderabad,109596
8,Software Engineer,Bangalore,81166
12,Mobile App Developer,Bangalore,106825
12,Cloud Engineer,Bangalore,159704
6,Software Engineer,Mumbai,68072
8,Machine Learning Engineer,Chennai,105577
12,Mobile App Developer,Mumbai,100349
11,Cloud Engineer,Hyderabad,136240
1,UI/UX Designer,Bangalore,38316
7,Full Stack Developer,Bangalore,90960
12,Software Engineer,Delhi,98122
9,Machine Learning Engineer,Bangalore,131132
6,Backend Developer,Pune,66045
9,Mobile App Developer,Chennai,74957
3,Mobile App Developer,Bangalore,51656
4,Web Developer,Bangalore,48408
6,Machine Learning Engineer,Chennai,90779
10,Cloud Engineer,Chennai,120783
7,Machine Learning Engineer,Delhi,111030
11,Cloud Engineer,Mumbai,142739
